ProductType,NumSold,Year,AvgDaysToShip,%ReturnedOnAverage
Smartwatch,1000,2013,20,35
BluetoothHeadset,500,2013,5,15
Wristband,1000,2013,1,20
SportsWatch,100,2013,10,30
ChestStrap,80,2013,7,15
Other,100,2013,5,35
SmartGlasses,50,2013,15,10
BodyCamera,50,2013,1,25
HeadMountedDisplay,50,2013,10,30
SmartWatch,2000,2014,20,20
BluetoothHeadset,2400,2014,5,10
Wristband,3000,2014,1,10
SportsWatch,400,2014,10,20
ChestStrap,80,2014,7,10
Other,950,2014,5,35
SmartGlasses,50,2014,15,10
BodyCamera,150,2014,1,20
HeadMountedDisplay,50,2014,10,25
SmartWatch,6500,2015,20,10
BluetoothHeadset,4000,2015,5,2
Wristband,3200,2015,1,5
SportsWatch,1000,2015,10,15
ChestStrap,50,2015,7,10
Other,900,2015,5,15
SmartGlasses,50,2015,15,5
BodyCamera,300,2015,1,15
HeadMountedDisplay,50,2015,10,20
SmartWatch,7200,2016,20,10
BluetoothHeadset,4500,2016,5,2
Wristband,3300,2016,1,5
SportsWatch,1100,2016,10,10
ChestStrap,50,2016,7,10
Other,1000,2016,5,5
SmartGlasses,50,2016,15,5
BodyCamera,400,2016,1,15
HeadMountedDisplay,100,2016,10,10